,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,country_of_bean_origin_latitude,country_of_bean_origin_longitude
24,1676,A. Morin,France,2015,Togo,Kpime,70.0,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,burnt wood,earthy,choco,,8.5132265,0.98009753
25,2206,A. Morin,France,2018,Peru,Absolu,63.0,3.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,dairy,spice,cocoa,-9.803302,-75.22187
26,2206,A. Morin,France,2018,Venezuela,Porcelana,70.0,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,alluring aroma,powdery,nutty,,7.6653886,-66.14542
27,1462,Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,yellow fruit,,,,-9.803302,-75.22187
28,1470,Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70.0,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,nutty,cherry,cocoa,-9.803302,-75.22187
29,2470,Acalli,U.S.A,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,hot cocoa,rich,molasses,,-9.803302,-75.22187
30,2462,Acalli,U.S.A,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,herbal,molasses,hammy,,23.909094,-102.6334
31,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,orange,floral,lemon,,-18.167,178.45
32,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa and powerful tang,,,,-18.167,178.45
33,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy and candy-like,,,,-18.167,178.45
